what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1367655650720
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1367655650725
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1367655650725
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1367655650732
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1367655650737
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1367655650747
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1367655650752
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1367655650768
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1367655650773
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1367655650785
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1367655650795
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1367655650802
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1367655650808
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1367655650809
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1367655650819
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1367655650820
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1367655650821
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1367655650821
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1367655650835
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1367655650841
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367655650851
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1367655650866
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367655650866
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1367655650874
os,sysinfo,,,"linux",1367655650885
arch,sysinfo,,,"x86",1367655650885
ws,sysinfo,,,"gtk",1367655650885
locale,sysinfo,,,"en_US",1367655650885
processors,sysinfo,,,"1",1367655650885
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367655650885
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1367655650885
java.specification.name,sysinfo,,,"Java Platform API Specification",1367655650885
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367655650885
java.specification.version,sysinfo,,,"1.6",1367655650885
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367655650885
java.version,sysinfo,,,"1.6.0_32",1367655650885
java.vm.info,sysinfo,,,"mixed mode, sharing",1367655650885
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367655650885
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367655650885
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367655650885
java.vm.specification.version,sysinfo,,,"1.0",1367655650885
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367655650885
java.vm.version,sysinfo,,,"20.7-b02",1367655650885
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1367655650911
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1367655651652
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1367655653679
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1367655653714
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1367655654280
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1367655654328
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1367655654362
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1367655654458
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1367655654524
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1367655654535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367655655575
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1367655656712
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1367655656724
