what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1367828939728
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1367828939735
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1367828939748
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1367828939758
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1367828939759
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1367828939761
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1367828939776
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1367828939777
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1367828939781
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1367828939792
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367828939796
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1367828939803
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367828939818
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1367828939820
os,sysinfo,,,"linux",1367828939823
arch,sysinfo,,,"x86",1367828939823
ws,sysinfo,,,"gtk",1367828939823
locale,sysinfo,,,"en_US",1367828939823
processors,sysinfo,,,"1",1367828939824
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367828939824
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1367828939824
java.specification.name,sysinfo,,,"Java Platform API Specification",1367828939824
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367828939824
java.specification.version,sysinfo,,,"1.6",1367828939824
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367828939824
java.version,sysinfo,,,"1.6.0_32",1367828939824
java.vm.info,sysinfo,,,"mixed mode, sharing",1367828939824
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367828939824
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367828939824
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367828939824
java.vm.specification.version,sysinfo,,,"1.0",1367828939824
